iter	RMSE
0	59685.11288
1	57282.13952
2	55475.17595
3	54338.30603
4	53169.99573
5	52096.376
6	51383.35835
7	50877.61685
8	50442.51348
9	50259.19352
10	50069.9341
11	49897.85553
12	49684.09945
13	49472.12985
14	49371.41667
15	49218.59768
16	49147.36665
17	48991.03315
18	48936.29323
19	48845.80172
20	48783.52877
21	48739.76287
22	48671.02815
23	48628.76558
24	48593.48894
25	48507.20359
26	48445.27327
27	48404.02832
28	48334.61505
29	48298.40292
30	48269.32736
31	48265.74347
32	48235.55075
33	48203.62705
34	48160.09582
35	48142.81934
36	48108.01037
37	48047.52953
38	48037.27618
39	48031.62504
40	48003.76333
41	47958.22438
42	47935.14958
43	47930.73325
44	47921.71586
45	47906.56697
46	47870.21902
47	47863.47803
48	47856.99985
49	47810.21804
50	47797.63063
51	47797.09079
52	47797.07066
53	47753.427
54	47736.72983
55	47676.12306
56	47674.60635
57	47657.33532
58	47647.04601
59	47634.90398
60	47633.52626
61	47620.97088
62	47601.91042
63	47601.91018
64	47600.6005
65	47583.03878
66	47583.03871
67	47580.46127
68	47574.60485
69	47564.00846
70	47562.91302
71	47557.21844
72	47556.68434
73	47523.05434
74	47520.69683
75	47509.04461
76	47480.74001
77	47458.76512
78	47452.52768
79	47442.91995
80	47438.27061
81	47436.06598
82	47428.89145
83	47428.39447
84	47418.50827
85	47415.32759
86	47381.4254
87	47362.9871
88	47357.97165
89	47354.20663
90	47352.6409
91	47343.22693
92	47335.60676
93	47320.29955
94	47257.25588
95	47241.77022
96	47240.34291
97	47238.52544
98	47188.36429
99	47166.18563
100	47164.55694
101	47158.1618
102	47142.64748
103	47137.22127
104	47136.93321
105	47135.32328
106	47127.47883
107	47119.90766
108	47111.72352
109	47095.20225
110	47088.76632
111	47071.46139
112	47052.95423
113	47048.20186
114	47047.07294
115	47032.25424
116	47020.08606
117	47006.51226
118	47004.49857
119	46985.89997
120	46978.56962
121	46976.06365
122	46959.5376
123	46947.16931
124	46943.02894
125	46923.28445
126	46917.49943
127	46907.6657
128	46897.93995
129	46885.38469
130	46884.90183
131	46868.5075
132	46856.91244
133	46842.35038
134	46840.01527
135	46838.02864
136	46824.11365
137	46785.33297
138	46784.27602
139	46783.26864
140	46782.84169
141	46778.45436
142	46775.19688
143	46767.46801
144	46746.07077
145	46710.66955
146	46710.33522
147	46699.75091
148	46696.17076
149	46693.58687
150	46674.97869
151	46656.05374
152	46633.2022
153	46631.25227
154	46620.7626
155	46611.82209
156	46587.04772
157	46578.16957
158	46576.6281
159	46573.37541
160	46570.8357
161	46562.86224
162	46558.69585
163	46550.07783
164	46549.99025
165	46527.94825
166	46525.44056
167	46518.48949
168	46515.18529
169	46500.46066
170	46498.80916
171	46479.10246
172	46479.00092
173	46478.67301
174	46475.29807
175	46419.89947
176	46408.40846
177	46399.04188
178	46398.42646
179	46385.05842
180	46380.54299
181	46366.30444
182	46364.01309
183	46363.69458
184	46362.61764
185	46361.17772
186	46349.37598
187	46345.24501
188	46339.70763
189	46332.96099
190	46320.69758
191	46316.77614
192	46310.92599
193	46283.27193
194	46280.16084
195	46269.5611
196	46265.78055
197	46254.33838
198	46246.9799
199	46241.20706
200	46212.78548
201	46206.60489
202	46189.48776
203	46187.90353
204	46181.02385
205	46176.39048
206	46169.79147
207	46160.37424
208	46158.65361
209	46147.36989
210	46139.88901
211	46130.97316
212	46121.65655
213	46116.92773
214	46116.51383
215	46116.07169
216	46114.03072
217	46113.45828
218	46112.79367
219	46107.81474
220	46101.99778
221	46097.37826
222	46086.43101
223	46082.12391
224	46082.06647
225	46081.0328
226	46049.81876
227	46035.23661
228	46029.05105
229	46014.87523
230	46013.63255
231	46011.91992
232	45993.3917
233	45976.97926
234	45969.14518
235	45966.95722
236	45958.9964
237	45947.79477
238	45945.77054
239	45935.64027
240	45931.32365
241	45905.4207
242	45905.41673
243	45890.36261
244	45882.65909
245	45880.83464
246	45873.60621
247	45863.39028
248	45860.31664
249	45851.54784
250	45845.24569
251	45844.83637
252	45842.2974
253	45839.22777
254	45826.69708
255	45825.26972
256	45814.14789
257	45811.5991
258	45811.36866
259	45809.55638
260	45807.65816
261	45807.17397
262	45805.84899
263	45778.26689
264	45777.39677
265	45775.75185
266	45767.89095
267	45763.25816
268	45757.33938
269	45736.88236
270	45726.2948
271	45723.17312
272	45711.10162
273	45697.23496
274	45696.9154
275	45692.78247
276	45686.98445
277	45669.06556
278	45668.06132
279	45662.51016
280	45662.51005
281	45656.75575
282	45652.16513
283	45648.36345
284	45634.09253
285	45628.02782
286	45617.01779
287	45612.46761
288	45610.19906
289	45602.03287
290	45601.20178
291	45590.01896
292	45586.95897
293	45586.28732
294	45582.59521
295	45582.25943
296	45577.49787
297	45576.13379
298	45575.31907
299	45574.46324
