iter	Passed	Remaining
0	30	9265
1	69	10355
2	101	10012
3	131	9701
4	162	9601
5	194	9526
6	227	9506
7	258	9446
8	289	9361
9	321	9333
10	359	9432
11	390	9376
12	423	9342
13	454	9288
14	485	9222
15	515	9157
16	546	9092
17	575	9022
18	606	8966
19	637	8920
20	668	8875
21	698	8825
22	729	8790
23	760	8742
24	792	8717
25	823	8677
26	854	8643
27	886	8607
28	925	8645
29	963	8671
30	996	8644
31	1027	8602
32	1057	8553
33	1087	8507
34	1118	8466
35	1148	8421
36	1178	8377
37	1210	8347
38	1258	8424
39	1292	8398
40	1324	8364
41	1356	8330
42	1386	8288
43	1424	8288
44	1455	8245
45	1486	8205
46	1518	8171
47	1567	8231
48	1599	8194
49	1631	8159
50	1662	8119
51	1693	8078
52	1724	8036
53	1756	8001
54	1787	7961
55	1818	7923
56	1850	7887
57	1880	7847
58	1911	7807
59	1942	7768
60	1972	7729
61	2004	7693
62	2035	7656
63	2066	7620
64	2097	7582
65	2127	7543
66	2157	7504
67	2189	7469
68	2220	7433
69	2250	7395
70	2281	7359
71	2313	7324
72	2344	7289
73	2374	7251
74	2405	7215
75	2435	7179
76	2466	7142
77	2497	7107
78	2528	7072
79	2559	7038
80	2591	7007
81	2623	6973
82	2653	6937
83	2683	6900
84	2713	6864
85	2745	6831
86	2775	6795
87	2807	6763
88	2838	6729
89	2868	6694
90	2899	6658
91	2929	6624
92	2960	6589
93	2992	6558
94	3024	6526
95	3055	6493
96	3087	6460
97	3118	6427
98	3149	6393
99	3180	6360
100	3211	6326
101	3241	6292
102	3272	6259
103	3303	6226
104	3334	6193
105	3365	6159
106	3396	6125
107	3427	6092
108	3457	6059
109	3489	6026
110	3519	5992
111	3552	5962
112	3583	5930
113	3614	5897
114	3645	5864
115	3677	5834
116	3708	5801
117	3740	5769
118	3771	5736
119	3802	5703
120	3834	5672
121	3865	5639
122	3897	5608
123	3928	5576
124	3959	5543
125	3991	5512
126	4023	5480
127	4054	5447
128	4085	5416
129	4116	5383
130	4147	5350
131	4178	5317
132	4209	5286
133	4240	5253
134	4271	5221
135	4302	5188
136	4332	5154
137	4363	5122
138	4394	5089
139	4425	5057
140	4457	5026
141	4488	4994
142	4519	4961
143	4551	4930
144	4583	4899
145	4613	4866
146	4644	4834
147	4675	4801
148	4706	4769
149	4738	4738
150	4770	4707
151	4804	4677
152	4837	4648
153	4871	4617
154	4901	4585
155	4932	4553
156	4963	4521
157	4994	4489
158	5025	4456
159	5055	4423
160	5087	4392
161	5117	4359
162	5148	4327
163	5179	4295
164	5211	4263
165	5241	4231
166	5272	4198
167	5302	4166
168	5333	4134
169	5363	4101
170	5394	4069
171	5425	4037
172	5455	4004
173	5486	3972
174	5517	3941
175	5548	3908
176	5578	3876
177	5609	3844
178	5640	3813
179	5671	3781
180	5703	3749
181	5734	3718
182	5765	3686
183	5796	3654
184	5826	3621
185	5858	3590
186	5891	3559
187	5922	3528
188	5954	3496
189	5985	3465
190	6017	3433
191	6047	3401
192	6078	3369
193	6110	3338
194	6143	3308
195	6174	3276
196	6206	3244
197	6237	3213
198	6268	3181
199	6299	3149
200	6331	3118
201	6364	3087
202	6396	3056
203	6428	3025
204	6460	2993
205	6491	2962
206	6523	2930
207	6555	2899
208	6585	2867
209	6616	2835
210	6647	2803
211	6678	2772
212	6709	2740
213	6740	2708
214	6770	2676
215	6802	2645
216	6832	2613
217	6863	2581
218	6895	2550
219	6926	2518
220	6961	2488
221	6994	2457
222	7026	2426
223	7059	2395
224	7091	2363
225	7122	2332
226	7153	2300
227	7185	2268
228	7215	2237
229	7245	2205
230	7275	2173
231	7307	2141
232	7338	2110
233	7368	2078
234	7399	2046
235	7430	2015
236	7461	1983
237	7497	1953
238	7528	1921
239	7559	1889
240	7589	1858
241	7621	1826
242	7651	1794
243	7682	1763
244	7714	1731
245	7746	1700
246	7776	1668
247	7807	1637
248	7838	1605
249	7869	1573
250	7899	1542
251	7931	1510
252	7962	1479
253	7994	1447
254	8027	1416
255	8058	1385
256	8089	1353
257	8121	1322
258	8153	1290
259	8184	1259
260	8214	1227
261	8245	1195
262	8281	1165
263	8320	1134
264	8356	1103
265	8387	1072
266	8419	1040
267	8451	1009
268	8483	977
269	8515	946
270	8550	914
271	8583	883
272	8616	852
273	8649	820
274	8682	789
275	8713	757
276	8746	726
277	8777	694
278	8819	663
279	8854	632
280	8887	600
281	8918	569
282	8951	537
283	8982	506
284	9015	474
285	9053	443
286	9097	412
287	9133	380
288	9167	348
289	9198	317
290	9230	285
291	9262	253
292	9297	222
293	9332	190
294	9365	158
295	9396	126
296	9429	95
297	9462	63
298	9497	31
299	9532	0
